"Part";"Value";"Device";"Package";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"DATA_POLARITY";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_0";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INITIAL_ACCURACY__25DEG_C";"INTERFACE";"IOUT_IZ_MAXM_A";"IPC_LAND_PATTERN_NAME";"LEAD_FREE";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_IZ_FOR_REGULATIONUA";"MIN_SUPPLY_VOLTAGE";"MOUNTING_TECHNOLOGY";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"NUMBER_OF_CHANNELS";"NUMBER_OF_CONVERTERS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PIN_0_0_7_INSIDE_EDGE";"PREFIX";"PROD_ID";"RATING";"RELEASE_DATE";"RESOLUTION";"ROHS";"SPICEPREFIX";"STANDOFF_HEIGHT";"SUB_FAMILY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TEMP_COEFFMAXPPM_DEGREE_C";"TEMP_COEFFTYPPPM_DEGREE_C";"VALUE";"VAULT_GUID";"VAULT_REVISION";"VERIFICATION_VERSION";"VO_V";
"U$6";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"TOGGLE_ON_OFF_ON";"TOGGLE_ON_OFF_ON";"TOGGLE_ON_OFF_ON";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$10";"TOGGLE_ON_OFF_ON";"TOGGLE_ON_OFF_ON";"TOGGLE_ON_OFF_ON";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$11";"Q-POT";"Q-POT";"Q-POT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$12";"ALPS-SRBV";"ALPS-SRBV";"ALPS-SRBV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ANALOG_DEVICES_INC_AD5754AREZANALOG_DEVICES_INC_AD5754AREZ_0_0";"ANALOG_DEVICES_INC_AD5754AREZANALOG_DEVICES_INC_AD5754AREZ_0_0";"ANALOG_DEVICES_INC_AD5754AREZ_0";"DAC 4-CH Resistor-String 16-bit 24-Pin TSSOP EP";"+85°C";"-40°C";"No";"";"";"";"";"";"";"http://www.analog.com/media/en/technical-documentation/data-sheets/AD5724_5734_5754.pdf";"";"Unipolar/Bipolar";"Integrated Circuits (ICs)";"Data Converter ICs";"Digital to Analog Converters (DACs)";"IC DAC 16BIT DSP/SRL 24TSSOP";"AD5754AREZ-ND";"{"fp_type":"TSSOP2","params":{"N":{"nom":24,"long name":"Number of leads","min":null,"max":null,"short name":"N","type":"count"},"A":{"nom":false,"long name":"Height","min":false,"max":1200000,"short name":"A","type":"measurement"},"A1":{"nom":false,"long name":"Package clearance","min":50000,"max":150000,"short name":"A1","type":"measurement"},"A2":{"nom":1000000,"long name":"Package height","min":800000,"max":1050000,"short name":"A2","type":"measurement"},"D":{"nom":7800000,"long name":"Package length","min":7700000,"max":7900000,"short name":"D","type":"measurement"},"E":{"nom":6400000,"long name":"Width /w leads","min":false,"max":false,"short name":"E","type":"measurement"},"E1":{"nom":4400000,"long name":"Package width","min":4300000,"max":4500000,"short name":"E1","type":"measurement"},"B":{"nom":false,"long name":"Lead width","min":190000,"max":300000,"short name":"B","type":"measurement"},"C":{"nom":false,"long name":"Lead thickness","min":90000,"max":200000,"short name":"C","type":"measurement"},"L":{"nom":600000,"long name":"Lead foot length","min":450000,"max":750000,"short name":"L","type":"measurement"},"e":{"nom":650000,"long name":"Lead pitch","min":null,"max":null,"short name":"e","type":"measurement"},"PHI":{"nom":false,"long name":"Lead angle","min":0,"max":8,"short name":"PHI","type":"measurement"},"D2":{"nom":5000000,"long name":"Thermal pad length","min":4950000,"max":5020000,"short name":"D2","type":"measurement"},"E2":{"nom":3200000,"long name":"Thermal pad width","min":3150000,"max":3250000,"short name":"E2","type":"measurement"},"PC":{"long name":"Paste coverage (%)","type":"percentage","short name":"PC","value":40},"HT":{"default":"Yes","long name":"Thermal pad","type":"multichoiceparent","short name":"HT","children":["D2","E2","PC"]},"offset x":{"nom":0,"long name":"X Center offset","min":null,"max":null,"short name":"offset x","type":"measurement"},"offset y":{"nom":0,"long name":"Y Center offset","min":null,"max":null,"short name":"offset y","type":"measurement"},"LS":{"default":"Rounded rectangle","long name":"Land shape","type":"multichoice","short name":"LS"},"LS1":{"default":"Rectangle","long name":"Land shape (Pin 1)","type":"multichoice","short name":"LS1"},"solder toe":{"nom":150000,"long name":"Solder fillet (toe)","min":null,"max":null,"short name":"solder toe","type":"fixedmeasurement"},"solder heel":{"nom":250000,"long name":"Solder fillet (heel)","min":null,"max":null,"short name":"solder heel","type":"fixedmeasurement"},"solder side":{"nom":10000,"long name":"Solder fillet (side)","min":null,"max":null,"short name":"solder side","type":"fixedmeasurement"},"courtyard":{"nom":100000,"long name":"Courtyard","min":null,"max":null,"short name":"courtyard","type":"fixedmeasurement"},"SF":{"default":"C","long name":"Packing level","type":"multichoiceparent","short name":"SF","help":"http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level","children":["solder toe","solder heel","solder side","courtyard"]}}}";"";"";"";"1.2mm";"";"";"";"";"SPI,Other";"";"SOP65P640X120-24";"yes";"+150°C";"16.5V";"Analog Devices Inc";"RE-24";"0";"A";"";"2.7V";"";"Digital to Analog Converters - DAC IC Dual 16-Bit VOut";"584-AD5754AREZ";"AD5754AREZ";"4";"4";"";"";"TSSOP24";"";"";"clock";"U";"";"";"";"16b";"yes";"";"0.05mm";"";"+85°C";"-40°C";"";"";"";"";"";"0.0.0.1";"";
"U2";"TEXAS_INSTRUMENTS_LM4040C25IDBZRTEXAS_INSTRUMENTS_LM4040C25IDBZR_0_1";"TEXAS_INSTRUMENTS_LM4040C25IDBZRTEXAS_INSTRUMENTS_LM4040C25IDBZR_0_1";"TEXAS_INSTRUMENTS_LM4040C25IDBZR_1";"TI-LM4040C25DBZ3";"";"";"";"1469524";"TO-236";"Manufacturer URL";"http://www.ti.com/";"Package Specification";"http://www.ti.com/litv/pdf/mpds108a";"http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=LM4040C25&fileType=pdf";"SLOS456K";"";"";"";"";"";"";"";"Level C";"Level B";"Level A";"";"yes";"vault";"1521848919";"0.5";"";"15";"";"";"";"";"Texas Instruments";"";"";"";"75";"";"Surface Mount";"";"";"LM4040C25IDBZR";"";"";"";"";"DBZ0003A";"3-Pin Plastic Small Outline, Body 2.92 x 1.3 mm, Pitch 0.95 mm";"4203227/B";"";"U";"";"Catalog";"1464596443";"";"Yes";"";"";"Shunt Voltage Reference";"";"";"100";"15";"";"5413DB6E-9D10-4027-A969-08E6820F4111";"C65482E3-4B49-4B9C-954A-31B6BAF04754";"";"2.5";
"U3";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-09069";"";"";"";"";"";"";"";"";"";"";"";"ATMEGA328P_TQFP";"";"";"";"";
"U4";"MAX3421";"MAX3421ESMD";"TQFP32-5MM";"MAX3421EEHJ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-09517";"";"";"";"";"";"";"";"";"";"";"";"MAX3421";"";"";"";"";
"X1";"OG-MIDI_MAB5SHCUI-SD-50BV";"OG-MIDI_MAB5SHCUI-SD-50BV";"OG-MIDI_SD-50BV";"Female CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"KUSBVX";"KUSBVX";"KUSBVX";"Vertical,Top Entry Universal Serial Bus Connector KUSBVX Series";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
